legal_code,status,legal_name,last_token,region_group,frame_population_dongs,frame_screened_dongs,frame_sampling_probability,frame_weight,total_units,screen_ok,screen_error
4155033023,존재,경기도 안성시 서운면 송정리,송정리,수도권(경기·인천),2280,120,0.05263157894736842,19.0,0,True,
4155034026,존재,경기도 안성시 미양면 용두리,용두리,수도권(경기·인천),2280,120,0.05263157894736842,19.0,0,True,
4155034032,존재,경기도 안성시 미양면 양지리,양지리,수도권(경기·인천),2280,120,0.05263157894736842,19.0,36,True,
4155035032,존재,경기도 안성시 대덕면 무능리,무능리,수도권(경기·인천),2280,120,0.05263157894736842,19.0,0,True,
4155038027,존재,경기도 안성시 원곡면 반제리,반제리,수도권(경기·인천),2280,120,0.05263157894736842,19.0,788,True,
4155038028,존재,경기도 안성시 원곡면 성주리,성주리,수도권(경기·인천),2280,120,0.05263157894736842,19.0,0,True,
4155039035,존재,경기도 안성시 일죽면 화봉리,화봉리,수도권(경기·인천),2280,120,0.05263157894736842,19.0,0,True,
4157034021,존재,경기도 김포시 대곶면 대능리,대능리,수도권(경기·인천),2280,120,0.05263157894736842,19.0,156,True,
4157034028,존재,경기도 김포시 대곶면 오니산리,오니산리,수도권(경기·인천),2280,120,0.05263157894736842,19.0,0,True,
4157036025,존재,경기도 김포시 하성면 마조리,마조리,수도권(경기·인천),2280,120,0.05263157894736842,19.0,0,True,
4159011700,존재,경기도 화성시 병점동,병점동,수도권(경기·인천),2280,120,0.05263157894736842,19.0,20912,True,
4159012600,존재,경기도 화성시 안녕동,안녕동,수도권(경기·인천),2280,120,0.05263157894736842,19.0,7192,True,
4159012800,존재,경기도 화성시 석우동,석우동,수도권(경기·인천),2280,120,0.05263157894736842,19.0,4142,True,
4159013000,존재,경기도 화성시 청계동,청계동,수도권(경기·인천),2280,120,0.05263157894736842,19.0,16445,True,
4159013200,존재,경기도 화성시 중동,중동,수도권(경기·인천),2280,120,0.05263157894736842,19.0,0,True,
4159025333,존재,경기도 화성시 봉담읍 덕리,덕리,수도권(경기·인천),2280,120,0.05263157894736842,19.0,0,True,
4159025623,존재,경기도 화성시 우정읍 운평리,운평리,수도권(경기·인천),2280,120,0.05263157894736842,19.0,0,True,
4159025929,존재,경기도 화성시 향남읍 백토리,백토리,수도권(경기·인천),2280,120,0.05263157894736842,19.0,0,True,
4159025938,존재,경기도 화성시 향남읍 도이리,도이리,수도권(경기·인천),2280,120,0.05263157894736842,19.0,20,True,
4159035026,존재,경기도 화성시 서신면 제부리,제부리,수도권(경기·인천),2280,120,0.05263157894736842,19.0,0,True,
4159041031,존재,경기도 화성시 정남면 제기리,제기리,수도권(경기·인천),2280,120,0.05263157894736842,19.0,0,True,
4159041039,존재,경기도 화성시 정남면 용수리,용수리,수도권(경기·인천),2280,120,0.05263157894736842,19.0,37,True,
4161025926,존재,경기도 광주시 곤지암읍 이선리,이선리,수도권(경기·인천),2280,120,0.05263157894736842,19.0,16,True,
4161025929,존재,경기도 광주시 곤지암읍 삼합리,삼합리,수도권(경기·인천),2280,120,0.05263157894736842,19.0,0,True,
4161025932,존재,경기도 광주시 곤지암읍 연곡리,연곡리,수도권(경기·인천),2280,120,0.05263157894736842,19.0,14,True,
4161033021,존재,경기도 광주시 도척면 노곡리,노곡리,수도권(경기·인천),2280,120,0.05263157894736842,19.0,522,True,
4161037021,존재,경기도 광주시 남한산성면 산성리,산성리,수도권(경기·인천),2280,120,0.05263157894736842,19.0,0,True,
